Mark,Manu,Type,Model,Serial,MTOW,engnum,Engmanu,Engtype,Engmodel,Fueltype,regType,regholdname,regholdadd1,regholdadd2,regholdSuburb,regholdState,regholdPostcode,regholdCountry,regholdCommdate,regopName,regopadd1,regopadd2,regopSuburb,regopState,regopPostcode,regopCountry,regopCommdate,Datefirstreg,gear,Airframe,CoAcata,CoAcatb,CoAcatc,Propmanu,Propmodel,Typecert,Countrymanu,Yearmanu,Regexpirydate,suspendstatus,suspenddate,ICAOtypedesig,IDERA_Authorised_Party,IDERA_Certified_Designee
EBA,AIRBUS INDUSTRIE,,A330-202,508,233000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,22-Dec-17,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,22-Dec-17,11-Nov-02,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2002,,,,A332,,
EBB,AIRBUS INDUSTRIE,,A330-202,522,233000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,24-Jan-18,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,24-Jan-18,27-Nov-02,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2002,,,,A332,,
EBC,AIRBUS INDUSTRIE,,A330-202,506,233000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,27-Apr-18,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,27-Apr-18,23-Jan-03,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2003,,,,A332,,
EBD,AIRBUS INDUSTRIE,,A330-202,513,233000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,29-Apr-16,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,29-Apr-16,5-Mar-03,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2003,,,,A332,,
EBE,AIRBUS INDUSTRIE,,A330-202,842,233000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,QF BOC 2008-2 PTY LIMITED,Attn: General Counsel & Co Secretary,,MASCOT,NSW,2020,Australia,11-Sep-08,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,16-Oct-15,29-May-07,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2007,,,,A332,,
EBF,AIRBUS INDUSTRIE,,A330-202,853,233000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,15-Dec-14,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,20-Aug-15,3-Aug-07,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2007,,,,A332,NATIONAL AUSTRALIA BANK LIMITED,
EBG,AIRBUS INDUSTRIE,,A330-203,887,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A2,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,28-Mar-17,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,28-Mar-17,5-Dec-07,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2007,,,,A332,NATIONAL AUSTRALIA BANK LIMITED,
EBJ,AIRBUS INDUSTRIE,,A330-202,940,230000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,MACQUARIE AIRFINANCE ACQUISITIONS (UK) LIMITED,Macquarie Aircraft Leasing Services (UK) Limited,28 RopemakerSt,LONDON,,EC2Y 9HD,United Kingdom,19-May-20,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,19-May-20,26-May-08,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2008,,,,A332,,
EBK,AIRBUS INDUSTRIE,,A330-202,945,230000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,6-Apr-17,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,6-Apr-17,17-Jul-08,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2008,,,,A332,NATIONAL AUSTRALIA BANK LIMITED,
EBL,AIRBUS INDUSTRIE,,A330-203,976,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A3,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,14-May-19,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,14-May-19,26-Nov-08,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.004,France,2008,,,,A332,NATIONAL AUSTRALIA BANK LIMITED,
EBM,AIRBUS INDUSTRIE,,A330-202,1061,230000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,SAPPHIRE LEASING I (AOE 4) LIMITED,PAFS Ireland Limited Shannon Business Park,,COUNTY CLARE,Shannon,V14EV57,Ireland,16-Jul-18,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,16-Jul-18,4-Nov-09,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2009,,,,A332,,
EBN,AIRBUS INDUSTRIE,,A330-202,1094,230000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,ZEPHYRUS CAPITAL AVIATION HOLDINGS LIMITED,Block A,George's Quay Plaza,DUBLIN  2,George's Quay,,Ireland,18-Feb-19,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Feb-19,29-Jan-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2010,,,,A332,,
EBO,AIRBUS INDUSTRIE,,A330-202,1169,230000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,KESTREL AVIATION IRELAND NO.4 LIMITED,32 Molesworth St,,.,.,DUBLIN 2,Ireland,6-Sep-19,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,6-Sep-19,3-Nov-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2010,,,,A332,,
EBP,AIRBUS INDUSTRIE,,A330-202,1174,230000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,SAPPHIRE LEASING I (AOE 4) LIMITED,PAFS Ireland Limited Shannon Business Park,,COUNTY CLARE,Shannon,V14EV57,Ireland,29-Aug-18,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,29-Aug-18,19-Nov-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2010,,,,A332,,
EBQ,AIRBUS INDUSTRIE,,A330-202,1198,230000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,"WELLS FARGO TRUST COMPANY, NATIONAL ASSOCIATION, AS TRUSTEE FOR AIRCRAFT MSN 1198 TRUST","299 South Main Street, Fifth Floor, MAC: U1228-051",,SALT LAKE CITY,UTAH,84111,United States of America,10-Nov-16,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,10-Nov-16,16-Feb-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2011,,,,A332,,
EBR,AIRBUS INDUSTRIE,,A330-202,1251,230000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,MSN 1251 AUTUMN DESIGNATED ACTIVITY COMPANY,"Co/- AWAS (Ireland) Litd, Block B,    Sir John Rogerson's Quay",,DUBLIN,,,Ireland,12-Nov-12,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,3-Mar-14,2-Sep-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2011,,,,A332,"CATHAY UNITED BANK, CO., LTD.",
EBS,AIRBUS INDUSTRIE,,A330-202,1258,233000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,"WELLS FARGO TRUST COMPANY, NATIONAL ASSOCIATION, AS TRUSTEE FOR AIRCRAFT MSN 1258 TRUST","299 South Main Street, Fifth Floor, MAC: U1228-051",,SALT LAKE CITY,UTAH,84111,United States of America,22-Nov-16,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,22-Nov-16,2-Sep-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2011,,,,A332,,
EBV,AIRBUS INDUSTRIE,,A330-202,1365,230000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A4,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,5-Dec-17,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,5-Dec-17,24-Oct-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2012,,,,A332,NATIONAL AUSTRALIA BANK LIMITED,
EFR,THE BOEING COMPANY,,767-381F,33510,186880,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80C2B6F,Kerosene,Full Registration,MERCURY AIRCRAFT LIMITED,"5-1, Marunouchi 1-chome CHIYODA-KU",5-Jan,TOKYO,,100-6525,Japan,7-Feb-11,EXPRESS FREIGHTERS AUSTRALIA PTY LIMITED,C/o QCA1,10 Bourke Rd,MASCOT,NSW,2020,Australia,6-Jun-13,7-Feb-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,A1NM,United States of America,2006,,,,B763,,
JQG,AIRBUS INDUSTRIE,,A320-232,2169,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2500,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Sep-15,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,5-Mar-20,9-Jun-04,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2004,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
JQL,AIRBUS INDUSTRIE,,A320-232,2185,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2500,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,14-Sep-15,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,4-Dec-19,2-Jul-04,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2004,,,,A320,,
JQX,AIRBUS INDUSTRIE,,A320-232,2197,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2500,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Sep-15,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,4-Nov-20,19-Jul-04,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2004,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
LQB,BOMBARDIER INC,,DHC-8-402,4343,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Sep-21,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,18-Sep-21,2-Feb-11,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2010,,,,DH8D,,
LQD,BOMBARDIER INC,,DHC-8-402,4371,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,2-Nov-21,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,2-Nov-21,5-Aug-11,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2011,,,,DH8D,,
LQF,BOMBARDIER INC,,DHC-8-402,4375,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,2-Nov-21,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,2-Nov-21,16-Aug-11,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2011,,,,DH8D,,
LQG,BOMBARDIER INC,,DHC-8-402,4376,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,2-Nov-21,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,2-Nov-21,5-Aug-11,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2011,,,,DH8D,,
LQH,BOMBARDIER INC,,DHC-8-402,4431,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,5-Feb-13,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,5-Feb-13,5-Feb-13,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2013,,,,DH8D,,
LQJ,BOMBARDIER INC,,DHC-8-402,4414,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,3-Aug-12,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,3-Aug-12,3-Aug-12,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2012,,,,DH8D,,
